Date,inflation,inflation.expectations,interest,gdp.log,covid.indicator
2016Q4,1.114388126,3.197605226,3.49,10.71348667,0
2017Q1,3.402826951,3.043040872,3.28,10.70563242,0
2017Q2,3.929294075,2.658173614,2.67,10.71863489,0
2017Q3,0.614150743,2.265164974,2.50,10.73693109,0
2017Q4,0.889382567,2.208913584,2.50,10.74664748,0
2018Q1,2.133749517,1.891644225,2.50,10.75533207,0
2018Q2,3.908395081,1.886419477,2.49,10.76876598,0
2018Q3,1.629439547,2.140241678,2.50,10.76384948,0
2018Q4,1.313912695,2.24637421,2.70,10.77843949,0
2019Q1,3.112855669,2.491150748,2.92,10.7707654,0
2019Q2,3.573816899,2.407506202,2.87,10.78453995,0
2019Q3,1.337247912,2.334458294,2.35,10.78625209,0
2019Q4,1.859075688,2.470749042,1.79,10.74608128,0
2020Q1,3.407632554,2.544443263,1.64,10.76489014,0
2020Q2,3.747766073,2.587930557,0.49,10.62943236,0
2020Q3,1.650557738,2.666258013,0.38,10.67894734,0
2020Q4,4.023348516,3.20732622,0.30,10.7457958,0
2021Q1,3.570681946,3.248088568,0.30,10.78104265,0
2021Q2,3.74339343,3.246995408,0.31,10.79163831,0
2021Q3,4.457542788,3.94874167,0.93,10.83203115,0
2021Q4,6.615364568,4.596745683,2.79,10.85567766,0
2022Q1,12.06911513,6.72135398,5.09,10.84088063,0
2022Q2,13.35846352,9.125121502,7.95,10.83723746,0
2022Q3,10.60706847,10.66250292,10.02,10.8329834,0
2022Q4,7.399113401,10.85844013,11.22,10.83397176,0
2023Q1,11.46400356,10.70716224,11.25,10.84093609,0
2023Q2,9.648150654,9.779584021,11.25,10.83471054,0
2023Q3,1.687617259,7.54972122,10.35,10.83969597,0
2023Q4,1.442123474,6.060473738,9.14,10.8416512,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
